director_name,director_score
André Øvredal,252652
Wych Kaosayananda,14294842
Tom Holland,24208079
Tommy Wirkola,27861889
Jesse Peretz,40542
Robert Eggers,25138292
Harald Zwart,47285499
Don Hall,222487711
Martin Brest,80860131
Udayan Prasad,317040
Scott Speer,35057332
Chris Gorak,21426805
Fina Torres,5018450
Robert Iscove,34120837
R. Balki,199228
Molly Bernstein,151389
Lasse Hallström,43429329
Christian Alvart,11787269
Alain Resnais,403649
Tim Story,98116871
Baz Luhrmann,96378995
Michael Cristofer,16252765
Aaron Schneider,9176553
Susanna White,28995450
Miguel Arteta,20831131
William Friedkin,62646597
James Frawley,76657000
Luke Greenfield,59059325
Albert Hughes,46479830
Laurent Cantet,3766595
Cathy Malkasian,39880476
Michael J. Bassett,17529157
Rowan Joffe,2963012
Ben Affleck,114096341
Werner Herzog,3591165
Timothy Hines,14616
Alejandro Agresti,52320979
Gavin O'Connor,8038759
Courtney Hunt,2508841
Neema Barnette,243347
David Cronenberg,11758590
Joss Whedon,432721657
Adam Carolla,105943
Hugh Hudson,32671597
Rian Johnson,34993971
Nicholas Jarecki,7918283
Chris Rock,25205343
Barbet Schroeder,23408645
David F. Sandberg,56536016
Nick Love,26345
Ed Harris,14401958
Christian Ditter,46813366
Chris Roberts,11576087
Tony Richardson,5100000
Bobcat Goldthwait,221210
Alex Zamm,306715
James Bobin,72217146
Tamara Jenkins,6045322
George Hickenlooper,1347118
Laurie Collyer,198407
Rob Reiner,51613951
John R. Leonetti,60095621
Eric Blakeney,1631839
Ralph Fiennes,756452
John Pasquin,72025478
Scott Ziehl,13493
Sharon Maguire,71500556
Michael Pressman,78656813
David Gelb,25799043
Richard Curtis,11644334
Trey Parker,28455048
Vincente Minnelli,2956000
Tim Robbins,20962485
Olivier Assayas,2496691
John Herzfeld,24375436
Nicholaus Goossen,6088249
Ralph Ziman,4958
John Glen,53270582
Costa-Gavras,5415247
Lorene Scafaria,6619173
Lionel C. Martin,13960203
Daniel Stamm,40990055
Richard E. Grant,233103
Bill Paxton,14217558
Gareth Edwards,237301
Harry Elfont,19795973
Paul Hunter,23020488
David Wain,8996081
Kirk Wong,27052167
Jason Zada,26583369
David Palmer,13746550
Christine Jeffs,12055108
Bill Condon,117965839
Bart Freundlich,9116699
Shane Black,206614054
Michael Caton-Jones,28698915
Benedikt Erlingsson,11835
Joseph Dorman,906666
Leslie Small,19968440
Richard Marquand,309125409
Richard Kwietniowski,2542264
Todd Haynes,6966532
Nora Ephron,52069830
Jon Amiel,41167332
Mabrouk El Mechri,3749061
Harry Beaumont,2808000
Mennan Yapo,47852604
Michael Tiddes,23010448
Phil Traill,33860010
Anurag Basu,1602466
Thaddeus O'Sullivan,196067
Peter Kassovitz,4956401
Ted Demme,52937130
Brian Trenchard-Smith,2987687
Harmony Korine,14123773
Mary Harron,15047419
Guy Hamilton,37825000
Patrick Lussier,31117286
Harley Cokeliss,3060858
Jon Favreau,199956067
Lena Dunham,389804
Beto Gómez,1391770
Adam Shankman,92350244
Sterling Van Wagenen,2024854
Mike Gabriel,141600000
Saul Dibb,13823741
Stephen Chow,5933406
Clark Johnson,76461288
Terence Young,34822345
Danny Steinmann,21300000
Kurt Hale,1181206
Morgan Neville,4946250
Stephen J. Anderson,26687172
Dena Seidel,4914
Dave Meyers,6026908
Tom McGrath,148337537
Jay Duplass,2595976
Lee Tamahori,32319635
Tom McLoughlin,19472057
Drake Doremus,3388210
Steve Carr,79306210
Arie Posin,49526
Ben Younger,16938179
Henry Selick,40344787
James Foley,12697948
Perry Andelin Blake,40363530
Stephen Kay,20447712
Mike Bruce,243768
Guillermo del Toro,71168710
Allison Anders,2239585
Brian Baugh,3773863
Damien Chazelle,13092000
Stéphane Aubier,71442
Antony Hoffman,17473245
Christophe Gans,46982632
Damon Santostefano,10544143
Kimberly Peirce,23244733
Tom Green,14249005
Alison Maclean,1282084
Thomas Bezucha,14620531
Randall Miller,2187123
Kathryn Bigelow,48863131
Álex de la Iglesia,3607
Bruce Paltrow,4734235
Steven Shainberg,2133825
Mike Newell,43683063
Darren Grant,50382128
Gregor Jordan,353743
Craig Bolotin,5871603
David Kellogg,97360069
Daniel Lee,72413
Craig Johnson,5283379
Tony Jaa,102055
Floria Sigismondi,3571735
Joe Camp,39552600
Taylor Hackford,31855070
Jerry Jameson,4778834
Rob Cohen,84997350
Wes Craven,45688617
Caroline Link,6173485
Lauren Lazin,7707563
Maria Maggenti,1977544
John Lasseter,211116269
Alan Metter,126247
Andy Garcia,2483955
Troy Miller,26096584
Barry Skolnick,92191
David Atkins,2025238
Nacho Vigalondo,38108
Richard Fleischer,20450000
Cédric Klapisch,2774068
Jon Avnet,33988342
Anne Fletcher,85132363
Steve Trenbirth,47887943
Diane Keaton,36037909
Rob Schmidt,15417771
Ekachai Uekrongtham,162
Kevin Lima,97324218
Peter Lepeniotis,64238770
Gore Verbinski,72943882
Wilson Yip,2126511
Salvador Carrasco,886410
Kelly Makin,33864342
Neil Burger,47722104
Joseph Gordon-Levitt,24475193
Michael Anderson,25000000
Mark Dindal,76080276
Noah Buschel,17580
Michel Leclerc,513836
Gregory Widen,16115878
Peter Billingsley,109176215
Cecil B. DeMille,36000000
Jeff Kanew,8508843
Patrick Creadon,3117666
Michael Winterbottom,1940040
John Patrick Shanley,33422556
David Boyd,2859955
Jonathan Teplitzky,4435083
Morgan J. Freeman,216594
Eric Bross,4356743
Joel Schumacher,60861436
Brad Furman,30748254
Bradley Rust Gray,24705
Greg Coolidge,28435406
Gordon Chan,22108977
Jaume Balagueró,11093554
Gary Sinyor,69582
Walter Hill,12033772
Danny Cannon,22134792
Fred Dekker,10696210
Stephen Hillenburg,85416609
Mike McCoy,70011073
John McTiernan,58311510
Gilles Paquet-Brenner,7691700
Anton Corbijn,17901682
Jay Chandrasekhar,30732667
Brian Robbins,32805137
Michael Clancy,70527
Christian Volckman,63260
Don Mancini,17016190
Jorge Ramírez Suárez,100412
Agnieszka Wojtowicz-Vosloo,108229
Ayan Mukerji,3827466
David E. Talbert,21564616
Jorge R. Gutiérrez,50150619
David Gordon Green,21064592
John G. Avildsen,99611749
Michael Landon Jr.,316184
Duncan Jones,35561858
Brendan Malloy,13903262
Pedro Almodóvar,12899702
Stacy Peralta,1784831
Rand Ravich,10654581
Fabián Bielinsky,1221261
Émile Gaudreault,6239558
Jacques Perrin,15084292
Lars von Trier,2115848
Mary Lambert,31343338
Thomas Vinterberg,760618
Jamal Hill,444044
Greg Mottola,26698389
Jun Falkenstein,45542421
Michel Orion Scott,155984
Hugh Wilson,55708283
Ari Sandel,34017854
Randy Moore,169719
Jonathan Kesselman,19539
François Truffaut,26893
Courtney Solomon,13396270
Edward Norton,37036404
David Mamet,6272423
Mor Loushy,34151
Jan de Bont,119164671
Quentin Dupieux,98017
Ronan Chapalain,4074023
Christopher Erskin,31179516
Alex Gibney,274661
Gary David Goldberg,43894863
Paolo Sorrentino,2835886
Roger Michell,71263290
Sarah Gavron,1094998
Keith Gordon,336456
Leigh Whannell,52200504
Robert Zemeckis,134097633
Stuart Gordon,3435379
William A. Graham,2807854
Jeremy Brock,238774
Mimi Leder,71741432
Steve Box,56068547
Bryan Singer,133238600
Jean-Jacques Annaud,36081973
Tom Brady,2331318
Cedric Nicolas-Troyan,47952020
Joel Edgerton,43771291
Max Färberböck,927107
Penny Marshall,82253294
Chris Miller,234970706
Paul Verhoeven,65239433
Josh Schwartz,9402410
Jennifer Flackett,48006503
Jane Campion,16438503
Peter Berg,87173364
Carl Franklin,35219308
Richard Loncraine,22725551
Takeshi Kitano,447750
Larry Charles,50413010
Hal Needham,5333658
Bruce Beresford,76045092
Wolfgang Becker,4063859
Yimou Zhang,2647913
Geoff Murphy,50024083
Vincent Gallo,1365832
Breck Eisner,45033973
Phil Alden Robinson,118471320
Dexter Fletcher,15785632
John Schlesinger,34064786
Richard J. Lewis,7501404
Tim Chambers,1889522
Teddy Chan,129115
Jon Gunn,4414159
Susan Seidelman,3123749
Tom McCarthy,25363778
Peter Ramsey,103400692
John Badham,79568000
Pitof,40198710
Rodman Flender,4002955
Mark Rosman,33839467
Steve Barron,15091542
Paul Thomas Anderson,21886070
David G. Evans,2428241
Gary Ross,182845555
Lawrence Guterman,55192898
Kate Barker-Froyland,20200
Davis Guggenheim,10623990
Susanne Bier,2849142
Matt Piedmont,5895238
Alexandre Aja,19779983
Walt Becker,81144444
Franklin J. Schaffner,800000
Takashi Shimizu,74659855
Tom Schulman,3559990
Joe Roth,83654787
Paul McGuigan,12523442
Frank Oz,38042428
Joe Johnston,121756789
Ron Howard,104837830
Glenn Ficarra,46709119
Mick Jackson,84709916
David Leland,146083
Peter Lord,68922520
Luis Llosa,61460285
Roger Spottiswoode,53634485
Eric Brevig,100935564
Brad Bird,108647363
Peter Atencio,20566327
