actor_name,actor_score
Lynn Hung,2126511
Rory Cochrane,17415761
Jemima Kirke,389804
Lee Evans,22108977
Woody Allen,22973659
Adam Butcher,795126
Stephen Boss,38721426
Farrah Fawcett,25000000
Shriya Saran,115504
Harold Ramis,117017112
Ellen Burstyn,47592926
Lisa Ray,3222857
Ruby Harris,14673301
Emma Watson,103094966
Lily Tomlin,29289957
Mark L. Young,75249121
Sara-Marie Maltha,64148
Vincent Leclerc,66359959
George Carlin,75546745
Bojana Novakovic,39643830
Jonathan Tucker,17427926
Candace Kroslak,3100650
Angell Conwell,19415824
Sook-Yin Lee,1984378
Gina Montana,12784397
Jeff Conaway,3071947
James Read,21835784
Robert Hobbs,4958
Fred Melamed,9190525
Ian Whyte,9353573
Eion Bailey,2267199
Phyllida Law,352786
Sydelle Noel,2557668
Jennifer Rubin,44793200
Benedict Cumberbatch,73822530
Yvonne Zima,33328051
The Edge,10353690
Ellar Coltrane,25359200
Kevin Clash,11634458
Demi Moore,78951975
Chris New,469947
Heather O'Rourke,55771496
Ian Ziering,10137232
Alex Vincent,33244684
Kenny Baker,270808891
Adrian Paul,12801190
Lesley Ann Warren,3619919
Philip Glenister,47396698
Niall Horan,28873374
Sofia Boutella,130468626
Nicholas Gonzalez,10671892
Lawrence Gilliard Jr.,3553614
Robert Costanzo,14208384
Jane Krakowski,31411893
Shelby Vischer,25571351
James With,15279680
Nicholas Braun,44863481
Jackie Burroughs,6852144
Mike Muscat,1953732
Zakes Mokae,45123110
Misha Gabriel Hamilton,35057332
Robert Duvall,61346661
Eva Birthistle,38317535
Alona Tal,12193263
Bob Dole,3117666
Stig Frode Henriksen,41709
Haley Joel Osment,64761334
Madison Rothschild,36073232
Donald Rumsfeld,1430185
Christopher Lee,140484663
Steve Harris,75406842
Terry Funk,2047570
Michael Paré,1550000
Leon Rippy,25078937
Michael Nouri,49930790
Emma Stone,94215835
Jake Weber,46849336
Alan D. Purwin,330249062
Donnie Dunagan,102797150
Agame Malembo-Emene,3766595
Marie-Anne Chazel,146072
Walter Masterson,1141829
Judy Greer,83672293
Dick Powell,2300000
Lane Smith,34678736
Toby Leonard Moore,668171
David O'Hara,66489425
Iben Hjejle,1418562
Michel Muller,81525
Gerard McSorley,1194885
Erick Elias,3105269
Natalie Lisinska,3074838
Jane Fonda,45368107
Robert McKee,536767
Simon McBurney,30957855
Ari Gold,1114943
Kevin Tighe,30050028
Ulrich Mühe,274299
Carl Gilliard,57859105
Nick Cannon,32786330
