id,gross2016
1008,2835886
1009,26487918
1010,151689
1011,47732277
1012,32155472
1013,363503
1015,5306419
1016,2989865
1017,104084799
1018,224916771
1019,15598406
1021,542474
1022,303534195
1023,35850421
1025,4389971
1026,287747139
1027,439958
1028,219336005
1029,138368738
1030,50064548
1031,42767103
1032,12433231
1033,2092364
1034,7334112
1035,21317969
1036,4633648
1038,0
1039,13050771
1041,31381495
1042,13967571
1043,48055514
1044,105780137
1045,8214940
1047,1019031
1048,16527
1049,9080640
1050,10628111
1052,34838915
1053,37479738
1055,39718696
1056,37262450
1057,67249446
1059,12705824
1060,304766545
1061,45093310
1062,40269379
1063,122528154
1064,13103168
1065,569613
1066,7101886
1068,52014
1069,86939869
1070,53661663
1071,717753
1072,20652088
1073,147526
1074,240510268
1075,115039683
1076,122755
1078,80925081
1079,0
1080,128512081
1081,15545090
1082,476270
1083,11068804
1084,9301495
1085,50740078
1087,62770958
1088,4493310
1089,35361058
1093,5528072
1094,62194519
1095,706622
1098,189900543
1099,36272071
1100,0
1101,58202095
1102,1292527
1103,44882677
1104,0
1105,0
1107,119978499
1108,74206
1109,1893473
1110,3759154
1111,39687528
1112,19126841
1113,56365084
1114,144299688
1115,13500574
1116,20556115
1118,2688485
1119,583150
1120,2109525
1121,34400044
1122,434417
1123,228238210
1126,19532746
1127,36037909
1128,108148909
1129,2776685
1130,509197
1131,200133558
1132,109463875
1134,40375761
1135,582860
1138,6489457
1139,57597118
1140,109463875
1141,10014234
1142,20394484
1144,839401
1147,201639783
1148,37623143
1149,23339176
1150,26193115
1151,13403180
1152,48640367
1153,12992386
1154,0
1155,42028784
1156,223698274
1158,62236690
1159,1656423
1160,57949154
1161,142031345
1162,51815579
1163,15032554
1164,18042238
1165,16731239
1168,0
1169,1340482
1170,34469551
1171,6115
1172,19183559
1173,208379266
1174,72594785
1175,33787617
1176,578267
1177,28125409
1178,131989751
1179,6852674
1180,90479960
1181,0
1182,298791107
1183,3950029
1184,62669774
1185,27226547
1186,30692500
1187,9860108
1188,80197993
1189,68313797
1190,0
1191,30062713
1192,32029374
1193,38288977
1194,38509099
1195,0
1196,14944987
1197,89958134
1201,52961
1202,0
1203,0
1204,508434
1205,55778712
1206,12161892
1207,42443736
1208,0
1209,2941351
1210,12652269
1211,16287481
1214,66832631
1215,14679518
1217,0
1218,84858217
1219,67025148
1220,120786724
1222,836641
1223,84121567
1224,1465468
1225,121738
1226,0
1228,102547735
1229,1043053
1230,33564639
1231,89405544
1232,7691700
1233,996628
1235,68123993
1236,39221116
1238,35461360
1240,10053588
1241,0
1242,122277745
1243,12685251
1244,38460436
1245,155871961
1246,98546893
1248,14191431
1251,18364581
1252,103600153
1253,335238943
1254,105722617
1255,111772530
1257,156305
1259,404810203
1261,119847
1263,0
1264,0
1265,17476717
1266,23883773
1267,64755991
1268,169266304
1269,162503
1270,22238520
1271,61858461
1274,0
1275,4091
1277,25292655
1278,13403180
1279,82391246
1280,12323409
1281,28142874
1282,0
1283,18528886
1284,3719967
1285,2178817
1286,148429088
1287,20474241
1289,61684842
1290,718211
1291,27349603
1292,5487459
1293,45569537
1294,0
1296,31831371
1297,156275647
1298,686383
1299,0
1301,82063496
1303,16832
1305,151616621
1307,433817
1308,32164319
1310,7069123
1311,81697
1312,33733593
1313,190099439
1314,7763545
1315,0
1316,114419762
1317,199652
1318,47680149
1320,26870825
1321,106386992
1322,11178837
1323,106869
1324,109340897
1325,50309873
1326,439478742
1327,0
1329,83202970
1330,27897956
1331,110081170
1332,102666759
1334,38647577
1335,3648979
1336,20106002
1338,397
1340,107009413
1341,168564850
1342,624451619
1343,1191077
1344,176058751
1345,3411287
1346,45778700
1347,0
1348,983453
1349,14771344
1350,0
1351,1703642
1352,25453244
1353,10201628
1354,27427010
1355,637137
1356,70545
1357,189575667
1358,47420
1361,9999
1362,739278
1363,322223576
1364,18618553
1365,541547
1366,5530748
1367,36149184
1368,9182185
1369,11324493
1371,8503164
1372,35970356
1373,42977871
